Date,Open,High,Low,Close,Volume,Adj Close
2/24/17,4.43,4.5,4.31,4.33,6490300,4.33
2/23/17,4.53,4.55,4.3,4.32,11477500,4.32
2/22/17,4.43,4.5,4.26,4.41,8712700,4.41
2/21/17,4.52,4.58,4.38,4.46,6598400,4.46
2/17/17,4.71,4.75,4.53,4.54,9307200,4.54
2/16/17,4.74,4.81,4.68,4.69,11144200,4.69
2/15/17,4.7,4.76,4.66,4.67,8921600,4.67
2/14/17,4.84,4.85,4.65,4.74,8070300,4.74
2/13/17,4.78,4.83,4.7,4.74,7594900,4.74
2/10/17,4.83,4.96,4.78,4.83,12454900,4.83
2/9/17,5.12,5.17,4.88,4.88,9465700,4.88
2/8/17,4.99,5.23,4.99,5.12,16612900,5.12
2/7/17,4.88,5.01,4.8,4.94,10527000,4.94
2/6/17,4.77,4.99,4.68,4.97,8252200,4.97
2/3/17,4.67,4.75,4.65,4.73,4383200,4.73
2/2/17,4.72,4.78,4.62,4.68,5149100,4.68
2/1/17,4.55,4.64,4.5,4.6,5568700,4.6
1/31/17,4.67,4.69,4.55,4.62,6590300,4.62
1/30/17,4.51,4.65,4.48,4.51,8753200,4.51
1/27/17,4.39,4.54,4.37,4.47,4733400,4.47
1/26/17,4.4,4.47,4.36,4.39,7120100,4.39
1/25/17,4.49,4.61,4.47,4.54,6777300,4.54
1/24/17,4.64,4.79,4.54,4.61,7658500,4.61
1/23/17,4.51,4.69,4.49,4.62,6126500,4.62
1/20/17,4.42,4.59,4.39,4.45,5346700,4.45
1/19/17,4.36,4.51,4.32,4.42,6383500,4.42
1/18/17,4.6,4.64,4.38,4.43,6461000,4.43
1/17/17,4.66,4.66,4.54,4.59,9472700,4.59
1/13/17,4.34,4.49,4.31,4.44,7819600,4.44
1/12/17,4.68,4.7,4.43,4.46,8516500,4.46
1/11/17,4.52,4.61,4.33,4.5,16620900,4.5
1/10/17,4.5,4.72,4.48,4.58,9570700,4.58
1/9/17,4.57,4.74,4.48,4.53,14054900,4.53
